model,mae,mse,rmse,r2_score
LinearRegression,0.4460921203464188,0.9378024933716127,0.9684020308588849,0.2322998079519064
RandomForestRegressor,0.2700842140634485,0.5793509291241747,0.7611510553918813,0.5257340189480311
