nama_file,ekstensi,ukuran_mb
data_raw/dataset_sources.csv,.csv,0.0
data_raw/cuaca_historis_open_meteo/weather_hourly_2024_13_Jawa_Tengah.csv,.csv,1.57
data_raw/cuaca_historis_open_meteo/weather_hourly_2023_12_Jawa_Barat.csv,.csv,1.54
data_raw/cuaca_historis_open_meteo/weather_hourly_2024_26_Sulawesi_Tengah.csv,.csv,1.56
data_raw/cuaca_historis_open_meteo/weather_hourly_2023_26_Sulawesi_Tengah.csv,.csv,1.56
data_raw/cuaca_historis_open_meteo/weather_hourly_2023_29_Gorontalo.csv,.csv,1.55
data_raw/cuaca_historis_open_meteo/weather_hourly_2022_01_Aceh.csv,.csv,1.52
data_raw/cuaca_historis_open_meteo/weather_hourly_2023_37_Papua_Pegunungan.csv,.csv,1.58
data_raw/cuaca_historis_open_meteo/weather_hourly_2024_28_Sulawesi_Tenggara.csv,.csv,1.6
data_raw/cuaca_historis_open_meteo/weather_hourly_2024_07_Bengkulu.csv,.csv,1.55
data_raw/cuaca_historis_open_meteo/weather_hourly_2024_22_Kalimantan_Selatan.csv,.csv,1.65
data_raw/cuaca_historis_open_meteo/weather_hourly_2023_38_Papua_Barat_Daya.csv,.csv,1.6
data_raw/cuaca_historis_open_meteo/weather_hourly_2023_13_Jawa_Tengah.csv,.csv,1.57
data_raw/cuaca_historis_open_meteo/weather_hourly_2024_21_Kalimantan_Tengah.csv,.csv,1.66
data_raw/cuaca_historis_open_meteo/weather_hourly_2022_06_Sumatera_Selatan.csv,.csv,1.62
data_raw/cuaca_historis_open_meteo/weather_hourly_2024_20_Kalimantan_Barat.csv,.csv,1.62
data_raw/cuaca_historis_open_meteo/weather_hourly_2024_05_Jambi.csv,.csv,1.5
data_raw/cuaca_historis_open_meteo/weather_hourly_2023_03_Sumatera_Barat.csv,.csv,1.57
data_raw/cuaca_historis_open_meteo/weather_hourly_2023_27_Sulawesi_Selatan.csv,.csv,1.61
data_raw/cuaca_historis_open_meteo/weather_hourly_2024_34_Papua.csv,.csv,1.51
data_raw/cuaca_historis_open_meteo/weather_hourly_2023_11_DKI_Jakarta.csv,.csv,1.56
data_raw/cuaca_historis_open_meteo/weather_hourly_2023_30_Sulawesi_Barat.csv,.csv,1.57
data_raw/cuaca_historis_open_meteo/weather_hourly_2023_09_Kepulauan_Bangka_Belitung.csv,.csv,1.73
data_raw/cuaca_historis_open_meteo/weather_hourly_2023_08_Lampung.csv,.csv,1.58
data_raw/cuaca_historis_open_meteo/weather_hourly_2023_14_DI_Yogyakarta.csv,.csv,1.6
data_raw/cuaca_historis_open_meteo/weather_hourly_2023_22_Kalimantan_Selatan.csv,.csv,1.65
data_raw/cuaca_historis_open_meteo/weather_hourly_2024_17_Bali.csv,.csv,1.52
data_raw/cuaca_historis_open_meteo/weather_hourly_2022_03_Sumatera_Barat.csv,.csv,1.57
data_raw/cuaca_historis_open_meteo/weather_hourly_2022_07_Bengkulu.csv,.csv,1.54
data_raw/cuaca_historis_open_meteo/weather_hourly_2024_32_Maluku_Utara.csv,.csv,1.55
data_raw/cuaca_historis_open_meteo/weather_hourly_2024_30_Sulawesi_Barat.csv,.csv,1.58
data_raw/cuaca_historis_open_meteo/weather_hourly_2024_23_Kalimantan_Timur.csv,.csv,1.62
data_raw/cuaca_historis_open_meteo/weather_hourly_2024_37_Papua_Pegunungan.csv,.csv,1.58
data_raw/cuaca_historis_open_meteo/weather_hourly_2024_31_Maluku.csv,.csv,1.51
data_raw/cuaca_historis_open_meteo/weather_hourly_2023_16_Banten.csv,.csv,1.49
data_raw/cuaca_historis_open_meteo/weather_hourly_2024_35_Papua_Selatan.csv,.csv,1.59
data_raw/cuaca_historis_open_meteo/weather_hourly_2023_33_Papua_Barat.csv,.csv,1.57
data_raw/cuaca_historis_open_meteo/weather_hourly_2023_25_Sulawesi_Utara.csv,.csv,1.57
data_raw/cuaca_historis_open_meteo/weather_hourly_2023_17_Bali.csv,.csv,1.51
data_raw/cuaca_historis_open_meteo/weather_hourly_2024_11_DKI_Jakarta.csv,.csv,1.56
data_raw/cuaca_historis_open_meteo/weather_hourly_2023_31_Maluku.csv,.csv,1.51
data_raw/cuaca_historis_open_meteo/weather_hourly_2024_10_Kepulauan_Riau.csv,.csv,1.61
data_raw/cuaca_historis_open_meteo/weather_hourly_2024_16_Banten.csv,.csv,1.49
data_raw/cuaca_historis_open_meteo/weather_hourly_2023_05_Jambi.csv,.csv,1.49
data_raw/cuaca_historis_open_meteo/weather_hourly_2024_04_Riau.csv,.csv,1.51
data_raw/cuaca_historis_open_meteo/weather_hourly_2023_34_Papua.csv,.csv,1.51
data_raw/cuaca_historis_open_meteo/weather_hourly_2022_05_Jambi.csv,.csv,1.49
data_raw/cuaca_historis_open_meteo/weather_hourly_2023_02_Sumatera_Utara.csv,.csv,1.55
data_raw/cuaca_historis_open_meteo/weather_hourly_2024_12_Jawa_Barat.csv,.csv,1.54
data_raw/cuaca_historis_open_meteo/weather_hourly_2022_02_Sumatera_Utara.csv,.csv,1.55
data_raw/cuaca_historis_open_meteo/weather_hourly_2024_06_Sumatera_Selatan.csv,.csv,1.62
data_raw/cuaca_historis_open_meteo/weather_hourly_2024_03_Sumatera_Barat.csv,.csv,1.57
data_raw/cuaca_historis_open_meteo/weather_hourly_2023_28_Sulawesi_Tenggara.csv,.csv,1.6
data_raw/cuaca_historis_open_meteo/weather_hourly_2023_24_Kalimantan_Utara.csv,.csv,1.64
data_raw/cuaca_historis_open_meteo/weather_hourly_2024_08_Lampung.csv,.csv,1.58
data_raw/cuaca_historis_open_meteo/weather_hourly_2023_15_Jawa_Timur.csv,.csv,1.56
data_raw/cuaca_historis_open_meteo/weather_hourly_2023_20_Kalimantan_Barat.csv,.csv,1.62
data_raw/cuaca_historis_open_meteo/weather_hourly_2023_19_Nusa_Tenggara_Timur.csv,.csv,1.62
data_raw/cuaca_historis_open_meteo/weather_hourly_2023_18_Nusa_Tenggara_Barat.csv,.csv,1.63
data_raw/cuaca_historis_open_meteo/weather_hourly_2023_23_Kalimantan_Timur.csv,.csv,1.62
data_raw/cuaca_historis_open_meteo/weather_hourly_2024_25_Sulawesi_Utara.csv,.csv,1.57
data_raw/cuaca_historis_open_meteo/weather_hourly_2023_10_Kepulauan_Riau.csv,.csv,1.62
data_raw/cuaca_historis_open_meteo/weather_hourly_2024_15_Jawa_Timur.csv,.csv,1.57
data_raw/cuaca_historis_open_meteo/weather_hourly_2024_02_Sumatera_Utara.csv,.csv,1.56
data_raw/cuaca_historis_open_meteo/weather_hourly_2024_27_Sulawesi_Selatan.csv,.csv,1.61
