cluster,jumlah_wilayah,rata_rata_suhu,rata_rata_kelembapan,rata_rata_curah_hujan,total_curah_hujan,rata_rata_angin
0,16,26.423032092368487,87.84357707711331,0.4202351056317006,139140.9,5.856590808256654
1,15,26.55149487198263,82.1177832960548,0.2590512776080273,70289.9,7.224940462520095
2,1,18.71371409028728,82.31486548107615,0.43695280437756495,7665.9,3.498614911080711
3,6,27.212864797081625,78.19501443988447,0.2002764477884177,21081.9,10.589812281501748
